# Personnal cheatsheet for vim


## Vim
Equalize pane | <C-w>=
Leader | <space>

Go to link (URL or path) | gf
Go to URL through browser | gx

Toggle fold | za
Toggle fold recursive | zA
Close current fold | zc
Close fold recursive | zC
Open current fold | zo
Open fold recursive | zO

Select inner tag | vit
Select around tag | vat
Select inner paragraph | vip
Select around paragraph | vap

## Telescope
Find files | <C-p>
Live grep | <C-f>
See buffers | <leader>fb
Git branches | <leader>gb
Git commits | <leader>gc
Telescope resume | <leader>tr

## Telescope-inside
Move up | <C-k>
Move down | <C-j>
Open horizontal | <C-s>
Open vertical | <C-v>
Close | <esc>

## NvimTree
Toggle the tree | <C-b>
Open vertical split | <C-v>
Open horizontal split | <C-s>

## Prettier
Format file | <leader>fp

## Buffer
Go to first buffer | <leader>bf
Go to last buffer | <leader>bl
Go to previous buffer | <leader>bp
Go to next buffer | <leader>bn
Close buffer | <leader>bc

## Tab
Go to first tab | <leader>tf
Go to last tab | <leader>tl
Go to next tab | <leader>tn
Go to previous tab | <leader>tp
Close tab | <leader>tc

## Register
See register | <leader>reg
Yank to register X (0-9)| "Xy
Past from register X (0-9)| "Xp

## Rust
Rust format | <leader>rfmt

## LSP
See lsp info | <leader>e
Go to declaration | gD
Go to definition | gd
Go to implementation | gi
Go to references | gr
Rename | <leader>rn
Code action | <leader>ca
See signature on hover | <leader>lsph

## UndoTree
Toggle UndoTree | <leader>ut

## Harpoon
Harpoon toggle ui | <leader>h<Tab>
Harpoon add | <leader>ha
Harpoon go to 1 | <leader>1
Harpoon go to 2 | <leader>2
Harpoon go to 3 | <leader>3
Harpoon go to 4 | <leader>4

## Aerial
Aerial toggle | <leader>a<Tab>
Aerial prev | <leader>ap
Aerial next | <leader>an

## Gitsigns
Toggle current line blame | <leader>bcl

## Other
Navigate to left pane | <C-h>
Navigate to bottom pane | <C-j>
Navigate to top pane | <C-k>
Navigate to right pane | <C-l>
Yank to clipboard | <leader>y
